ID,Timezone,DST Diff,DST Rule,OS Time Zone,Name
30333,-3,1,0,Atlantic/Stanley,STANLEY
30334,10,1,4,Australia/ACT,ACT
30335,9.5,1,4,Australia/Adelaide,ADELAIDE
30336,10,1,0,Australia/Brisbane,BRISBANE
30337,9.5,1,4,Australia/Broken_Hill,BROKEN HILL
30338,10,1,4,Australia/Canberra,CANBERRA
30339,10,1,4,Australia/Currie,CURRIE
30340,9.5,1,0,Australia/Darwin,DARWIN
30341,8.75,1,0,Australia/Eucla,EUCLA
30342,10,1,4,Australia/Hobart,HOBART
30343,10.5,0.5,18,Australia/LHI,LHI
30344,10,1,0,Australia/Lindeman,LINDEMAN
30345,10.5,0.5,18,Australia/Lord_Howe,LORD HOWE
30346,10,1,4,Australia/Melbourne,MELBOURNE
30347,10,1,4,Australia/NSW,NSW
30348,9.5,1,0,Australia/North,NORTH
30349,8,1,0,Australia/Perth,PERTH
30350,10,1,0,Australia/Queensland,QUEENSLAND
30351,9.5,1,4,Australia/South,SOUTH
30352,10,1,4,Australia/Sydney,SYDNEY
30353,10,1,4,Australia/Tasmania,TASMANIA
30354,10,1,4,Australia/Victoria,VICTORIA
30355,8,1,0,Australia/West,WEST
30356,9.5,1,4,Australia/Yancowinna,YANCOWINNA
30357,-5,1,0,Brazil/Acre,ACRE
30358,-2,1,0,Brazil/DeNoronha,DENORONHA
30359,-3,1,0,Brazil/East,EAST
30360,-4,1,0,Brazil/West,WEST
30361,1,1,2,CET,CET
30362,-6,1,1,CST6CDT,CST6CDT
30363,-4,1,1,Canada/Atlantic,ATLANTIC
30364,-6,1,1,Canada/Central,CENTRAL
30365,-6,1,0,Canada/East-Saskatchewan,EAST-SASKATCHEWAN
30366,-5,1,1,Canada/Eastern,EASTERN
30367,-7,1,1,Canada/Mountain,MOUNTAIN
30368,-3.5,1,1,Canada/Newfoundland,NEWFOUNDLAND
30369,-8,1,1,Canada/Pacific,PACIFIC
30370,-6,1,0,Canada/Saskatchewan,SASKATCHEWAN
30371,-8,1,0,Canada/Yukon,YUKON
30372,-4,1,27,Chile/Continental,CONTINENTAL
30373,-6,1,28,Chile/EasterIsland,EASTERISLAND
30374,-5,1,21,Cuba,CUBA
30375,2,1,0,EET,EET 
30376,-5,1,0,EST,EST 
30377,-5,1,1,EST5EDT,EST5EDT
30378,2,1,22,Egypt,EGYPT
30379,0,1,2,Eire,EIRE
30380,0,0,0,Etc/GMT,GMT
30381,0,1,0,Etc/GMT+0,GMT+0
30382,-1,1,0,Etc/GMT+1,GMT+1
30383,-10,1,0,Etc/GMT+10,GMT+10
30384,-11,1,0,Etc/GMT+11,GMT+11
30385,-12,1,0,Etc/GMT+12,GMT+12
30386,-2,1,0,Etc/GMT+2,GMT+2
30387,-3,1,0,Etc/GMT+3,GMT+3
30388,-4,1,0,Etc/GMT+4,GMT+4
30389,-5,1,0,Etc/GMT+5,GMT+5
30390,-6,1,0,Etc/GMT+6,GMT+6
30391,-7,1,0,Etc/GMT+7,GMT+7
30392,-8,1,0,Etc/GMT+8,GMT+8
30393,-9,1,0,Etc/GMT+9,GMT+9
30394,0,1,0,Etc/GMT-0,GMT-0
30395,1,1,0,Etc/GMT-1,GMT-1
30396,10,1,0,Etc/GMT-10,GMT-10
30397,11,1,0,Etc/GMT-11,GMT-11
30398,12,1,0,Etc/GMT-12,GMT-12
30399,13,1,0,Etc/GMT-13,GMT-13
30400,14,1,0,Etc/GMT-14,GMT-14
30401,2,1,0,Etc/GMT-2,GMT-2
30402,3,1,0,Etc/GMT-3,GMT-3
30403,4,1,0,Etc/GMT-4,GMT-4
30404,5,1,0,Etc/GMT-5,GMT-5
30405,6,1,0,Etc/GMT-6,GMT-6
30406,7,1,0,Etc/GMT-7,GMT-7
30407,8,1,0,Etc/GMT-8,GMT-8
30408,9,1,0,Etc/GMT-9,GMT-9
30409,0,1,0,Etc/GMT0,GMT0
30410,0,0,0,Etc/Greenwich,GREENWICH
30411,0,0,0,Etc/UCT,UCT
30412,0,0,0,Etc/UTC,UTC
30413,0,0,0,Etc/Universal,UNIVERSAL
30414,0,0,0,Etc/Zulu,ZULU
30415,1,1,2,Europe/Amsterdam,AMSTERDAM
30416,1,1,2,Europe/Andorra,ANDORRA
30417,2,1,2,Europe/Athens,ATHENS
30418,0,1,2,Europe/Belfast,BELFAST
30419,1,1,2,Europe/Belgrade,BELGRADE
30420,1,1,2,Europe/Berlin,BERLIN
30421,1,1,2,Europe/Bratislava,BRATISLAVA
30422,1,1,2,Europe/Brussels,BRUSSELS
30423,2,1,2,Europe/Bucharest,BUCHAREST
30424,1,1,2,Europe/Budapest,BUDAPEST
30425,1,1,2,Europe/Busingen,BUSINGEN
30426,2,1,2,Europe/Chisinau,CHISINAU
30427,1,1,2,Europe/Copenhagen,COPENHAGEN
30428,0,1,2,Europe/Dublin,DUBLIN
30429,1,1,2,Europe/Gibraltar,GIBRALTAR
30430,0,1,2,Europe/Guernsey,GUERNSEY
30431,2,1,2,Europe/Helsinki,HELSINKI
30432,0,1,2,Europe/Isle_of_Man,ISLE OF MAN
30433,3,1,0,Europe/Istanbul,ISTANBUL
30434,0,1,2,Europe/Jersey,JERSEY
30435,2,1,0,Europe/Kaliningrad,KALININGRAD
30436,2,1,2,Europe/Kiev,KYIV
30437,0,1,2,Europe/Lisbon,LISBON
30438,1,1,2,Europe/Ljubljana,LJUBLJANA
30439,0,1,2,Europe/London,LONDON
30440,1,1,2,Europe/Luxembourg,LUXEMBOURG
30441,1,1,2,Europe/Madrid,MADRID
30442,1,1,2,Europe/Malta,MALTA
30443,2,1,2,Europe/Mariehamn,MARIEHAMN
30444,3,1,0,Europe/Minsk,MINSK
30445,1,1,2,Europe/Monaco,MONACO
30446,3,1,0,Europe/Moscow,MOSCOW
30447,2,1,3,Europe/Nicosia,NICOSIA
30448,1,1,2,Europe/Oslo,OSLO
30449,1,1,2,Europe/Paris,PARIS
30450,1,1,2,Europe/Podgorica,PODGORICA
30451,1,1,2,Europe/Prague,PRAGUE
30452,2,1,2,Europe/Riga,RIGA
30453,1,1,2,Europe/Rome,ROME
30454,4,1,0,Europe/Samara,SAMARA
30455,1,1,2,Europe/San_Marino,SAN MARINO
30456,1,1,2,Europe/Sarajevo,SARAJEVO
30457,3,1,0,Europe/Simferopol,SIMFEROPOL
30458,1,1,2,Europe/Skopje,SKOPJE
30459,2,1,2,Europe/Sofia,SOFIA
30460,1,1,2,Europe/Stockholm,STOCKHOLM
30461,2,1,2,Europe/Tallinn,TALLINN
30462,1,1,2,Europe/Tirane,TIRANE
30463,2,1,2,Europe/Tiraspol,TIRASPOL
30464,2,1,2,Europe/Uzhgorod,UZHGOROD
30465,1,1,2,Europe/Vaduz,VADUZ
30466,1,1,2,Europe/Vatican,VATICAN
30467,1,1,2,Europe/Vienna,VIENNA
30468,2,1,2,Europe/Vilnius,VILNIUS
30469,3,1,0,Europe/Volgograd,VOLGOGRAD
30470,1,1,2,Europe/Warsaw,WARSAW
30471,1,1,2,Europe/Zagreb,ZAGREB
30472,2,1,2,Europe/Zaporozhye,ZAPOROZHYE
30473,1,1,2,Europe/Zurich,ZURICH
30474,0,1,2,GB,GB
30475,0,1,2,GB-Eire,GB-EIRE
30476,0,0,0,GMT,GMT
30477,0,1,0,GMT+0,GMT+0
30478,0,1,0,GMT-0,GMT-0
30479,0,1,0,GMT0,GMT0
30480,0,0,0,Greenwich,GREENWICH
30481,-10,1,0,HST,HST
30482,8,1,0,Hongkong,HONGKONG
30483,0,1,0,Iceland,ICELAND
30484,3,1,0,Indian/Antananarivo,ANTANANARIVO
30485,6,1,0,Indian/Chagos,CHAGOS
30486,7,1,0,Indian/Christmas,CHRISTMAS
30487,6.5,1,0,Indian/Cocos,COCOS
30488,3,1,0,Indian/Comoro,COMORO
30489,5,1,0,Indian/Kerguelen,KERGUELEN
30490,4,1,0,Indian/Mahe,MAHE
30491,5,1,0,Indian/Maldives,MALDIVES
30492,4,1,0,Indian/Mauritius,MAURITIUS
30493,3,1,0,Indian/Mayotte,MAYOTTE
30494,4,1,0,Indian/Reunion,REUNION
30495,3.5,1,0,Iran,IRAN
30496,2,1,42,Israel,ISRAEL
30497,-5,1,0,Jamaica,JAMAICA
30498,9,1,0,Japan,JAPAN
30499,12,1,0,Kwajalein,KWAJALEIN
30500,2,1,0,Libya,LIBYA
30501,1,1,2,MET,MET
30502,-7,1,1,MST,MST
30503,-7,1,1,MST7MDT,MST7MDT
30504,-8,1,1,Mexico/BajaNorte,BAJANORTE
30505,-7,1,0,Mexico/BajaSur,BAJASUR
30506,-6,1,0,Mexico/General,GENERAL
30507,12,1,5,NZ,NZ
30508,12.75,1,23,NZ-CHAT,NZ-CHAT
30509,-7,1,1,Navajo,NAVAJO
30510,8,1,0,PRC,PRC
30511,-8,1,1,PST8PDT,PST8PDT
30512,13,1,0,Pacific/Apia,APIA
30513,12,1,5,Pacific/Auckland,AUCKLAND
30514,12.75,1,23,Pacific/Chatham,CHATHAM
30515,10,1,0,Pacific/Chuuk,CHUUK
30516,-6,1,28,Pacific/Easter,EASTER
30517,11,1,0,Pacific/Efate,EFATE
30518,13,1,0,Pacific/Enderbury,ENDERBURY
30519,13,1,0,Pacific/Fakaofo,FAKAOFO
30520,12,1,19,Pacific/Fiji,FIJI
30521,12,1,0,Pacific/Funafuti,FUNAFUTI
30522,-6,1,0,Pacific/Galapagos,GALAPAGOS
30523,-9,1,0,Pacific/Gambier,GAMBIER
30524,11,1,0,Pacific/Guadalcanal,GUADALCANAL
30525,10,1,0,Pacific/Guam,GUAM
30526,-10,1,0,Pacific/Honolulu,HONOLULU
30527,-10,1,0,Pacific/Johnston,JOHNSTON
30528,14,1,0,Pacific/Kiritimati,KIRITIMATI
30529,11,1,0,Pacific/Kosrae,KOSRAE
30530,12,1,0,Pacific/Kwajalein,KWAJALEIN
30531,12,1,0,Pacific/Majuro,MAJURO
30532,-9.5,1,0,Pacific/Marquesas,MARQUESAS
30533,-11,1,0,Pacific/Midway,MIDWAY
30534,12,1,0,Pacific/Nauru,NAURU
30535,-11,1,0,Pacific/Niue,NIUE
30536,11,1,4,Pacific/Norfolk,NORFOLK
30537,11,1,0,Pacific/Noumea,NOUMEA
30538,-11,1,0,Pacific/Pago_Pago,PAGO PAGO
30539,9,1,0,Pacific/Palau,PALAU
30540,-8,1,0,Pacific/Pitcairn,PITCAIRN
30541,11,1,0,Pacific/Pohnpei,POHNPEI
